text,Tense,Aspect,Subject Person,Ving
"at He would . God put me here for a reason , Daddy!!!!!kept telling me ;_ I just had n't figured it out yet . // Now I know my father was a certified man of God , but at a fairly young age , I decided that know what he was",past,iterative,3rd,tell
"r it would be if you could find a store where they!!!!!kept bringing in new_ candy . It 's not hard to find stuff that 's never been classified . You into geology ? "" "" No , more like English and history . I had to take Earth",past,ambiguous,3rd,bring in
"was stiff , and my mouth was full of dust . But we!!!!!keep going . Even_ though my eyes were closing I was conscious enough not to crash into a tree . We passed along the side of a reflecting object . // -- What does that",present,Continuative,1st,go
"lowering until dark . There was a sniper everybody!!!!!kept yelling about ._ Pelham he was with . The only name he 'd caught was of a marine who 'd died on the way in , Lazzaro from Texas . He did not have a clear idea about t",past,ambiguous,3rd,yell
"/ True confession : I still could n't work . I . I!!!!!kept staring at the_ walls , tried a line , scratched it out . My hero , Sam Rose , was up shit creek but whenever I tried to throw him a paddle , it sank beneath a monta",past,Continuative,1st,stare
"e Mank , spooning up ice cream or chicken soup . I!!!!!kept staring at that_ uglymagic picture . // Until one late night , as the Philippines were sliding down the tube and Goering was bombing the hell out of London , and Ed M",past,Continuative,1st,stare
"s seat . Flashbacks of what happened to my parents!!!!!kept piercing my brain_ . The vivid images , the pleasant breeze that poured in all four of the car windows , and my ongoing tears put me in a deep sleep . When I woke up I",past,iterative,3rd,pierce
"// "" It will haunt me for the rest of my life . I!!!!!kept expecting a smile_ , or a frown , or something . "" // "" I 'm sorry , "" I said , for lack of anything else . // "" I should n't have gone Samantha . "" I was silent . She",past,Continuative,1st,expect
"Uncle , "" she replied . // He leaned forward . She!!!!!kept going . ""_ No one listens anymore , "" he said quietly . // I could n't tell you when last I had seen the neighborhood , but I could pinpoint the last day we liv",past,Continuative,3rd,go
"nt , but the projector bollixed up and the picture!!!!!kept getting the jiggers._ // MY BROTHER WAS IN THE AIR CORPS . He was n't a pilot , but still . // "" It 's not like he 's a pilot , "" I told Leo . // "" Ever see their uniforms",past,iterative,3rd,get
"I were not the lover whose face , he 'd claimed ,!!!!!kept appearing before his_ closed eyes , but an aggressive , door-to-door religious fanatic he had unknowingly ushered into his house . // I walked out , hands at my sides , re",past,iterative,3rd,appear
"nearly fell , but he managed to right himself and!!!!!keep going . He_ had to stand on the pedals to maintain his speed . The all-out sprint was taking its toll . // "" Get ready , "" ? Tatum told his brother . // Dead ahe",present,Continuative,3rd,go
"is twenty-five minutes , usually less . Ca n't we!!!!!keep talking awhile ?_ // Time 's up . You 'll have to pay for another massage . All right then . Go on please . // What do you want to know ? What happened when you got ou",present,Continuative,1st,talk
"y mother everything . "" "" We do n't want Vicari to!!!!!keep doing this ._ He 's assaulted other women , left them empty shells with no personality . He could have killed you . "" Helena rubbed her eyes , as if trying to wipe",past,iterative,3rd,do
"will you do ? "" Jacob stared toward the river . ""!!!!!Keep living my life_ as I always have . "" He looked at Carrie . "" Does that surprise you ? "" "" You said you had faith only in the Lord . That 's more than something you f",future,Continuative,1st,live
"ountrymen again . SCENE 3 Narrator B : Lee 's army!!!!!keeps moving westward ._ But at a village called Appomattox , Grant traps Lee 's starving men . Lee : I would rather die a thousand deaths than surrender to General Grant . B",present,Continuative,3rd,move
"ving to slip him cash at the end of most months to!!!!!keep staking him ._ Think about it Kyle , how damned oppressive all that 's been . Twenty that any kind of life ? "" // Kyle did n't say anything about the other things h",present,ambiguous,3rd,stake
"Vanessa was tired of Ida harping on it , too . "" I!!!!!keep telling you ,_ the time just is n't right . "" // "" The time will never be right , let you tell it . "" // Vanessa gently pushed her aunt out of the office . "" Let 's",present,iterative,1st,tell
"is Homeland BS friends were looking for you , so I!!!!!kept going . ""_ "" We 're in trouble , guys , "" Zach said . "" Seth , if you spotted a stakeout , the chances are someone spotted you . "" done nothing wrong , and yet",past,Continuative,1st,go
"said , "" It 's about God , Dad , and my ability to!!!!!keep believing in him_ , or her , or whatever . It 's my faith-I think I 'm losing soul at that moment was no less strong than it would have been if she had said , "" I 'm p",present,Continuative,1st,believe
"e is so big , you can smell around corners . I can!!!!!keep going all day_ , but let a fool such as you insult me ? I do n't think so . VALVERT ( furious ) : Put up your sword ! N1 : They fight and Cyrano easily wins . Count",present,Continuative,1st,go
"Gorlen played till their chattering subsided , and!!!!!kept playing . He_ hummed along with it a bit , but realized the pure tones of the eduldamer were strong enough to summon them . They needed the unadulterated tones to",past,continuative,3rd,play
"h . There was a cell phone on the counter , and he!!!!!kept tapping it with_ his index finger to make it spin-kept looking at the revolving cell phone instead of at the girl . I remember wondering if I 'd just walked in on a l",past,iterative,3rd,tap
"rinned . "" You think it 's pretty ? "" "" You ca n't!!!!!keep pulling those thirty-six-hour_ sessions at the keyboard and then go right out and rip the ocean like you 're the Big Kahuna . "" "" I 'm not dying , He woke in absolute darkness , wi",past,iterative,2nd,pull
"for ? "" "" Perhaps it is n't her time . "" it is , I!!!!!keep telling you ._ Wo n't you fiends let me die ? I want to go to hell in a handbasket . Put me out of my misery and into the Afterlife where I can do some real damage",present,iterative,1st,tell
"d Indian , whispered to his partner , "" Why do you!!!!!keep saying long knife_ to this zombie instead of bayonet ? "" "" He 's an Indian , "" Flotsam whispered back . "" They always say long knife in the movies . "" "" That refers to",present,iterative,2nd,say
"h life in her face , her eyes . You do not want to!!!!!keep standing out there_ on the porch with the screen door between y'all . You want to get inside , and you do that by looking and talking in ways to make her like you in abo",present,continuative,2nd,stand
"the backseat , but now nothing seemed right . They!!!!!kept remembering the stories_ their mother had told them all their lives of her Despera Springs childhood : the monkey who died in a watermelon rind ; the mysterious stranger who",past,iterative,3rd,remember
"nes . We 'd just sit there and eat and eat . He 'd!!!!!keep bringing us out_ all this food . We 'd be on the clock and he 'd be telling me about being in the Marines in Korea , all kinds of crazy shit . Blowing up villages , k",present,iterative,3rd,bring out
"my car , making this same drive , once before . I!!!!!kept wiping hot tears_ from my eyes so I could see out of the window . I should 've been looking for police , other cars on the road , a deer , a stray dog that had managed",past,iterative,1st,wipe
"es to change the position of her bracelet , but it!!!!!keeps rubbing up against_ her cut and causing her pain . Emily : I have to get rid of this bracelet ! Emily 3 : You ca n't get rid of it ! Your father gave it to you ! Emily 2",present,iterative,3rd,rub
"ing his head . "" What 'd you do that for ? "" Eddie!!!!!keeps demanding in a_ high , gasping voice , of her , of her , of her as the pipe smashes the man 's head until he sags against the steering wheel . Opening the door , she",past,continuative,3rd,demand
"ar seats and a booster across the back . Alexander!!!!!kept taking Toby 's_ string cheese , and the baby , except when he was sleeping , was fussing . Peter drove the U-Haul on the theory that if it broke , he ' d know how to",past,iterative,3rd,take
"ant because it 's been a tough year and my husband!!!!!keeps bringing me tubes_ of frozen cookie dough , "" I said , instead , in a voice that seemed to rise up without my permission : "" Yes . "" Amanda "" she said . "" Four kids ! """,present,iterative,3rd,bring
"Why , then , did the hair on the back of her neck!!!!!keep prickling so ?_ Phaedra tucked her portfolio closer , and picked up her step . "" Ooh , miss , do slow down ! "" Agnes complained . "" I want to find Millie as bad as y",present,ambiguous,3rd,prick
"g on it a week . But it was paying the rent , Lucy!!!!!kept reminding herself ._ She kept at it until half past one , then decided to quit for the night . Before shutting down the computer , she quickly checked her eG ? ? mail . A",past,iterative,3rd,remind
". Thomas and Elisha , sitting at their mess fire ,!!!!!kept glancing over ._ Everyone around the fire slavery any more than I do , "" Luke said . "" Hell I do n't . "" "" Elisha says you 're as brave as any man in the regiment . H",past,iterative,3rd,glance
", but you know , a ho by any other name ... Me , I!!!!!keep doing what I_ 'm good at : protecting and selling pussy . My big brother , Kadrian , did n't make it out of his teens . He got caught up in gangbanging and took a",present,continuative,1st,do
"d one child ago . "" She made a face . "" His father!!!!!kept telling him I_ was his stepmother . I 'll die if he still thinks of me like that . "" "" I 'm sure he does n't . And if mind . "" Maria smiled at her sister 's pleased",past,iterative,3rd,tell
"xactly what every one of these things are ? "" Cole!!!!!kept looking at the_ monitor and the image frozen on it . In his hands he held a controller that was connected to a black video-game console on a table beside Jason 's de",past,continuative,3rd,look
"ves , already shot , began to fray a little as she!!!!!kept taking her foot_ off the gas pedal to avoid slamming into the car in front of her . "" Come on , come on , "" Sue muttered under her breath , drumming her fingers on th",past,ambiguous,3rd,take
"first Hammond exit was n't the right one , so she!!!!!kept going . The_ traffic was getting heavier , but it was the second turnoff she wanted . She slowed down at the bottom of the off-ramp and turned left , heading into",past,continuative,3rd,go
"r if it was a dream or if it actually happened . I!!!!!keep going over that_ night in my head . . . why did I ever get out of bed ? I left my wife by herself to go watch TV , and she died . I 'm so sorry , Mary . Dean still ha",present,iterative,1st,go
"Seven men . Six witnesses . The orders had been to!!!!!keep going until you_ found the enemy . Then you were supposed to make your way back , preferably without having been seen . But the enemy had the same kinds of patrols ,",present,continuative,2nd,go
"ry second . But it had been so cold , and the rain!!!!!kept coming down on_ them . They had got numb , maybe even drowsy--the drowse before you lie down and freeze to death . And they could n't really look at one another now",past,continuative,3rd,come down
"just slogged on , always north . And the sickness!!!!!kept coming over Marson_ in waves . He had been on the beachhead at Salerno span of hours leading into days , and he had lived through the panic when all along the line men b",past,iterative,3rd,come
"rince is a hairsbreadth from his last breath if he!!!!!keeps sending us to_ these cursed islands instead of straight on to the desert wastes of the Hasshugeb Expanse . Now just between you and me , I 'm starting to wonder a b",present,iterative,3rd,send
"d n't come with me . I was dizzy . That 's all . I!!!!!kept grabbing at the_ seat , the side of it like I was drowning , trying to lift -- I felt that way -- waiting for the sky to turn upright . Then this man crawled around m",past,iterative,1st,grab
"too , holding out their hands to shake . Farragher!!!!!kept hoisting up his_ pants and snapping at the tiny pockets of his vest . Pake Mannion was trembling as his clammy hand squeezed too hard , his thin , wet lips pinched ou",past,iterative,3rd,hoist up
"tives . "" After we sing , I 'll cure you . "" "" You!!!!!keep saying that ._ Cure me of what ? "" "" Mortality . "" "" So you still plan to kill me ? "" "" No . We 'll see to it that you never die . "" "" You offer immortality ? I do",present,iterative,2nd,say
"ou so Oh ! That 's right , Ian ! They 're poor . I!!!!!keep forgetting . It_ seems so odd we 're related , does n't it ? Dan : Maybe we 're not related . Maybe you 're mutant aliens ? Real kids do n't dress like bankers and fl",present,iterative,1st,forget
". The other and more immediate concern was air . I!!!!!kept assuring myself that_ I was getting enough but did n't find me convincing . And sure enough , just then my peripheral vision flickered and went out and the blindness gradu",past,iterative,1st,assure
"got into a nasty fight with the company man . You!!!!!kept working with Sherry_ , so we decided you were on our side . "" Jason looked away , red-faced . "" Sherry gave me a lot to think about , but I had to make up my own mind abo",past,continuative,2nd,work
e most other takeovers made their big mistake . We!!!!!keep telling our young_ seeds not to be tempted by thumbs . Those creatures ' lives are thankless . Full of wars and work . All sorts of problems . More anxiety than you 'd,present,iterative,1st,tell
g the night on that cold concrete foundation . She!!!!!kept shrugging as if_ to tell herself that she did n't have any choice . So we parted company and the closest thing I had to a home in the world - a hotel apartment with t,past,iterative,3rd,shrug
"mint leaves and rose petals into the hole , and he!!!!!kept sitting there even_ after the rabbi led the funeral party away , after the crowd had thinned out and the deceased 's wife and children were led away . He sat there as th",past,continuative,3rd,sit
"ut the strange dream I 'd had of Old Samson . Lola!!!!!kept rocking me ,_ and her scent filled my nose and started to arouse me . "" I am fine . You are right ; I had a really bad dream . I am okay now , "" I said . "" Is it a",past,continuative,3rd,rock
"illy had said he could n't stop watching , that he!!!!!kept hoping the guy_ who passed the rescue line to others so many times would wise up the next time it played and get selfish , choose to save his own neck . He then said",past,continuative,3rd,hope
"ild who lives in Ohio , seemed almost frantic . He!!!!!kept calling me but_ I was too sick to talk to him for more than a minute or two . When I looked at my inner computer screen it showed me palm trees and bright sun and el",past,iterative,3rd,call
"ings and strings of Mardi Gras beads , and I could!!!!!keep going but I_ 'd wear you out . Just one more thing : week after week I kept finding jacks like the ones I used to play "" ball and jacks "" with when I was a girl ,",present,continuative,1st,go
t to brace ourselves against the opposite wall . I!!!!!kept dunking that the_ silitiger - or whatever we might call our pursuer - could squeeze through other crack systems suitable to one of his size and plasticity and emerge f,past,iterative,1st,dunk
"business . "" "" Or what ? You go to the Tubes ? "" ""!!!!!Keep being a dick_ . You 'll find out . "" Mary raked walnuts with a vengeance , as if she wanted to rip out the bottom of the Dot . Clyde rested both hands on the end o",present,continuative,2nd,be
"ey changed the title with the second issue , but I!!!!!kept buying it anyway_ . I 'd already been buying pulp sf magazines , but F &SF; seemed a step above the pulpwoods . More like Ellery Queen 's Mystery Magazine , after whic",past,iterative,1st,buy
"York and started auditioning for musicals , but I!!!!!kept getting rejected ._ After a while , I realized it was n't meant to be . MARCO : Do you regret it ? MS . ROWAN : Yes and no . I love teaching . But there are times , mayb",PASSIVE,PASSIVE,PASSIVE,PASSIVE
"ic-ridden interdiction of a satellite . You try to!!!!!keep focusing the ear-popping_ emptiness that 's in your head at bay . Sunlight creates a menagerie of gold and black spots against your eyelashes . The whole time , your ass is pr",present,continuative,2nd,focus
"e future ? "" "" I do n't know what to think , but I!!!!!keep asking myself why_ a dragon ? Most human societies have legends about them . Dragons are huge . They inspire awe . "" "" But dragons were never real - until now . "" "" Oh",present,iterative,1st,ask
"r , says Stubb ; he 's queer - queer , queer ; and!!!!!keeps dinning it into_ Mr. Starbuck all the time - queer- sir - queer , queer , very queer . And here 's his leg ! Yes , now that I think of it , here 's his bedfellow ! ha",present,continuative,3rd,din
"ll the same . "" V. The Virgin and the Crown Rachel!!!!!kept disappearing that summer_ only to return from her lost weekends hung over and insolvent . Her skin blistered and peeling . From my bedroom window , I 'd watch as Rachel kissed",past,iterative,3rd,disappear
"picnic , "" I said , grinning . I felt the need to!!!!!keep behaving differently than_ I felt , pretending this was just some ordinary day . She gave me , at last , her bold , gray-blue stare . Again I felt the thudding of my heart . """,present,continuative,1st,behave
"at . If we 're the majority , how come Yoobie pois!!!!!keep getting elected ?_ The elections are n't rigged . Loyalist pois get the most votes , but what can you expect when more than twothirds of the citizens are on the dole ?",PASSIVE,PASSIVE,PASSIVE,PASSIVE
"ded warmly . "" What are you wondering if but if he!!!!!kept shouting his neighbors_ would call the police , and who knew what they 'd find . "" This . . . the transportation computer 's been hacked . Or something . Trains are n't runn",past,continuative,3rd,shout
"e , "" he said , pointing at the nearest bundle . ""!!!!!Keep repeating the same_ phrase and watch how the waves of light move across its surface . "" She repeated the phrase again , watching the colors flow from one worm to the nex",present,iterative,2nd,repeat
"hat ? "" "" Well , honey , for one thing . The stuff!!!!!kept dripping out ._ But the main feature that caught my interest , "" he paused to wet his lips again , "" was tiny Utile . . . furniture . "" I did n't know whether to gas",past,continuative,3rd,drip out
"m , turning over possible responses in my mind and!!!!!kept coming up blank_ . I wanted to scream , or even just to reassure the kid that it was going to be okay . But Arthur was standing there between us , and there was nothi",past,iterative,3rd,come up
"ime to reload . Then they could only wait . Benton!!!!!kept looking north ,_ but his thoughts were often not on the Wikosans , but on the Asteran force to the north commanded by Odwan Freya . "" They 'll be fine , cap'n , "" Ser",past,ambiguous,3rd,look
"s been like this forever . "" Her voice rose . "" I!!!!!keep hoping her mom_ is on vacation , and she 's coming back . She 's not . The robots really are raising her . "" She fell silent , her feet making soft sliding steps on",present,iterative,1st,hope
"even the Americans can do better than that . "" We!!!!!kept watching the movie_ . After a while , Daddy said , "" That Falconetti really has guts . "" I looked out the window . The same deep darkness stretched out as far as ever .",past,continuative,1st,watch
"cut , and the second one a few minutes later , and!!!!!kept working on the_ data they did receive . Once the session recording ended , they had a good idea of what pathways in his brain needed to be overwritten . Finding a go",past,continuative,3rd,work
"the outside with their original patterns , but you!!!!!keep telling me how_ dangerous that is . "" "" I 'm sorry , Lucinda . Being the president 's friend has n't stopped them from monitoring my mail . I 'm convinced of it . Th",present,iterative,2nd,tell
""" That 's right . "" He shrugged . "" Maybe I wo n't!!!!!keep studying Hub travel_ - not openly , anyway . I 'm not that stupid . "" He winked . "" But there have got to be other things humans have to offer the galaxy . And I 'm going",present,continuative,1st,study
"ore its way into the asteroid 's crimson dawn . It!!!!!kept going right through_ the searing heat of the hydrogen shell . "" Hard radiation does n't even slow it down , "" Jyoti said . "" Maybe it uses GaCrux 's "" It looks like it 's",past,continuative,3rd,go
"they were . Gerda would n't leave Luc alone . She!!!!!kept pinging his emergency_ links , and every time he asked her to talk to him on their private link , she refused . She wanted him to come home . Luc did n't want to go home ha",past,iterative,3rd,ping
"house . Together , they managed to earn enough to!!!!!keep paying the rent_ on that big Miraflores house and to go on fading out with an air of dignity . But one day the soldier was posted outside the capital , the electricia",present,iterative,3rd,pay
at and it 's jumping every which way and the knife!!!!!keeps going in the_ wrong place and the pig is hollering so loud it 's like he wants to holler himself right out of his own life . That 's what that hollering in that st,present,iterative,3rd,go
me all they want and Ella is shouting keep going !!!!!!keep going ! and_ pretty soon the door to Johnny Junior 's room slams shut up the hall and Nathan and Caleb are already at it again and it 's really something how much,present,continuative,2nd,go
"states of mind . I 'm not sure what that means . I!!!!!keep seeing figures in_ isolation , I see past physical dimension into the feelings that these words engender , feelings that deepen over time . That 's the other word , tim",present,iterative,1st,see
"ndle and boxes of juice in the back pocket . Kevin!!!!!kept telling her to_ leave it on the lawn , but she did nt trust that filthy ol fool Raz not to steal it from under her nose . She was pretty sure hed stolen her panties",past,iterative,3rd,tell
"y with him . It was as good a reason as he knew to!!!!!keep going . He_ had landed a pranged chopper before , but not in these conditions . There was no water to hit . He hoped like hell he could set it down with everybod",present,continuative,3rd,go
"Whoever he was , he had turned the corner and just!!!!!kept moving . I_ slipped my gun back into its holster and took off at a run . I had made it a good ten yards before a body flew up from behind and to my left . I spra",past,continuative,3rd,move
"oppers . "" What ? "" I say finally , because Rankin!!!!!keeps giving me this_ look of disbelief . "" I said , holy shit , "" Rankin says . Rankin is tall and thin with a short uneven afro and an Adam 's apple the size of a golf b",present,iterative,3rd,give
"t . And a faceful of Austin McKettrick . "" It just!!!!!keeps getting worse ,_ "" she marveled , gripping the arms of the poolside chair where she 'd fallen asleep after a solitary lunch in the ranch-house kitchen . Austin laughe",present,continuative,3rd,get adj
"and our family . The bottom line is that I ca n't!!!!!keep going through this_ with you . You promised me the last time that it would n't happen again . Yet here we are . "" He came to the bed and sat facing her . "" I know I 've",present,iterative,1st,go
"into the city . Pete turned south on Van Ness and!!!!!kept going . Houses_ and warehouses gave way to fields and marshes , and then houses and warehouses resumed . When he turned in at the entrance to Tanforan , she was plea",past,continuative,3rd,go
"on shorts and a matching sleeveless tee , but what!!!!!kept pulling her attention_ was her own baby soft , blond hair . Dammit , forget about the hair ! Impatient with the dream and with hair in in the microwave and distracted herse",past,iterative,3rd,pull
"e time , so a decent kitchen was a necessity . She!!!!!kept hoping her landlords_ would decide the move to California was shed told them she was interested , basically calling dibs -- but so far they showed no signs of giving it up",past,iterative,3rd,hope
"n't need to talk to anybody . "" "" JT , why do you!!!!!keep fighting me on_ this ? Something about your mother 's death torments you , and it needs to be addressed . "" Whipping around to face Craig , Josiah scowled . "" Someth",present,iterative,2nd,fight
". Jesus almighty ... "" The man bolted aft while I!!!!!kept looking out ._ Somewhere down there , I knew my cousins and grandparents were in trouble . The smoky clouds were too thick for me to see the continents clearly , bu",past,ambiguous,1st,look
"d fascinated with Jupiter . I felt bad , having to!!!!!keep reminding her that_ Mama and Papa would n't be there at the door to greet us when we got off the ship . Every time I did it , Irenka got mad at me and told me she hated",present,iterative,1st,remind
"d flings the steel weapon . Lucas sidesteps it and!!!!!keeps trotting backward ,_ letting the kid come close , and then he wheels and sprints , saying stay in town ? "" "" I did n't kill the guy , "" Harris says . "" Good to hear , "" L",present,continuative,3rd,trot
"They fell silent again after that , just trying to!!!!!keep moving in the_ wake of the sergeant , of armor with an inexhaustible power supply . Johansen looked backwards at times , fearing to see the shapes of Izkop coining",present,continuative,3rd,move
"t long . Mafatu never tires . He fights bravely to!!!!!keep going , and_ , by morning , he comes to notice that his pursuers have slowly begun to fall back from him . Narr 1 : The drums fade into the distance behind him .",present,continuative,3rd,go
st ... stop . But I could n't . Past recollections!!!!!kept infusing my consciousness_ . Merkel 's Meat Market across the avenue . A pound of bacon-ends for nineteen cents . How I loved the sandwiches my mother made from toasted wheat b,past,iterative,3rd,infuse
""" Varun is safe somewhere with Dadaji , "" Baba had!!!!!kept saying , those_ first few days and weeks after they came to Doraha . "" Dadaji will bring him , I know he will . They will be here any day now . "" He does n't talk ab",past,iterative,3rd,say
"tation ? "" "" Not as far as I know . Your questions!!!!!keep getting stranger ._ "" "" Getting back to the patients you helped on the Parent Ship , tell us more about the first one . "" "" As I said , it looked like a cross between- """,present,continuative,3rd,get adj
"rous show of cash and swatted them away . Falconer!!!!!kept talking , his_ hands making gentle circling motions in the air that suggested to Merrian she might have to add mesmerism to her mental list of his talents , especia",past,continuative,3rd,talk
"trees . Do n't stop after ten or fifteen minutes :!!!!!keep going for an_ hour , two , until you are deep in a place you have not seen before . Feel free , should you like , to lean against a tree , sit on a log - mind it i",present,continuative,2nd,go
"t in my organization we 're on call constantly . ""!!!!!Keep going , Freddy_ . "" There 'd been something about his tone . Ten years of working with gives you clues . The FBI agent , never known for hesitating , now hesitated .",present,continuative,2nd,go
"r secrets , while Jenny , with her addiction , had!!!!!kept digging them deeper_ into debt . Madeline sucked in a breath and slipped into Ortiz 's office . Officially , Jorge di Silva ran the drug cartel she worked for , his arist",past,iterative,3rd,dig
He continued gagging helplessly on the blood that!!!!!kept filling his throat_ . He was suffocating and the lack of oxygen to his brain was making it impossible to focus his thoughts anymore . He tried to recall again that first,past,continuative,3rd,fill
"the ironing board and iron every strand . "" If you!!!!!keep moaning about it_ , I swear I will do it when you sleep , "" she warned , "" and if I burn some of it and you become bald , that will be on your head . Literally . "" And",present,iterative,2nd,moan
"the spent magazine with another , but his partner!!!!!kept snapping off one_ round at a time , and she had to roll Even before Chester Garrity opened his eyes , he knew this was n't going to be one of his better days . Birds t",past,iterative,3rd,snap
"armacist is a real hottie for a sixty-year-old and!!!!!keeps asking Aunt Christine_ to dinner . They 're both metal detector enthusiasts . They met at a treasure hunt . "" "" You have the most interesting family , "" I said . Mitch glan",present,iterative,3rd,ask
"t drowned when Paulie Farragher and Jimmy Connelly!!!!!kept shoving me back_ into the pool 's deep end every time I tried to climb up and out for air and I swore any number of choking , coughing blood oaths that if God let me",past,iterative,3rd,shove
"Ice from the hip-hop duo Death on the Rocks , who!!!!!keeps getting framed for_ cocaine possession . Yeah , that 's him , the one and only Not Guilty Milty . He was the reason I was able to open my own practice downtown the momen",PASSIVE,PASSIVE,PASSIVE,PASSIVE
"ge of frustration , Aiden wondered why things just!!!!!kept getting crap-pier for_ him , rather than better , since this was the last damn thing that he needed . One would think that fighting on the "" good "" side against a sadistic",past,continuative,3rd,get adj
"ded . Now we had arrived there , but the mysteries!!!!!kept piling up and_ we had not a single answer . Andrean was slightly wolf , and was commander of the lander bigger than a small apartment until we died , but that was n",past,iterative,3rd,pile up
", very slowly , the girl approached it . The roUer!!!!!kept raising its gaze_ to avoid breaking eye contact , but otherwise it did n't move . When Veronica Julia was within haft a meter she knelt down , so theft two pafts of ey",past,continuative,3rd,raise
aliy over Earth TWo in its geostationary orbit and!!!!!keep watching over its_ emancipated chlidren like a patriarchal God keeping watch over his creatures from heavenly heights ? Certainly it could keep doing so with no problem,present,continuative,3rd,watch
"s . "" Connor , you still have to get your One Dumb!!!!!kept closing his eyes_ . And when the other team chanted "" No batter ! No batter ! No batter ! "" he believed them . By the last day of Camp Koertge , Connor ' Nations , the",past,iterative,3rd,close
"as shockingly cold . Splashing upward . Biting . I!!!!!kept moving . Stones_ bruised my feet . She was tougher than I was . When I caught up with Jessie , in waist-deep water , she turned to face me . Moonlight washed the left",past,continuative,1st,move
"riend , but your wife just gets finer and you just!!!!!keep getting older ._ "" "" I know that 's right , "" Maxwell added . "" None taken . "" I chuckled . "" I think she looks pretty good myself . That 's why I married her , remem",present,continuative,2nd,get adj
"eduling movie nights anymore . Or , worse , you do!!!!!keep seeing each other_ . And while a taste of honey is worse than none at all , a move , someone says no , you both start yelling , and you never see each other again . Oh",present,iterative,2nd,see
"the violent bloom slowly turning pink as the snow!!!!!kept falling . Their_ neighbors were watching from the windows , their faces pressed to the glass . A few had come out onto their porches , clutching door , had ushered he",past,continuative,3rd,fall
"ends , "" Belle said . She resented that her mother!!!!!kept saying the move_ to Encinitas was good for all of them , but it had mainly been good for her . She was so consumed with being busy and driving a new car and buying sh",past,iterative,3rd,say
"wept . I take that back ; attempted ( in vain ) to!!!!!keep making it abundantly_ clear that he did with many a dark critical glance . Somehow , despite my conviction that we were all destined for the bottom of the river , we final",present,iterative,3rd,make
d spun around them as they feasted . The musicians!!!!!kept playing their instruments_ made from coral and bones and shells above them snapped open and shut . No one had experienced such effects from an upper- world storm in hundreds of,past,continuative,3rd,play
"f his life . But ? What if she yelped , but Eugene!!!!!kept talking ? Georgia_ had to stop him . Before he had a chance to say her name . "" There 's a heavy burden on my spirit , and I need you folks to help lift it off me , "" h",past,continuative,3rd,talk
boyfriend if I pushed her even the tiniest bit . I!!!!!keep waiting for this_ evil spell to be broken . That it will be like the flu and one morning she 'll wake up smiling and help me make pancakes and tell me she 'll set the,present,continuative,1st,wait
"Sorry . "" "" Why ? Did you puke on me on purpose ?!!!!!Keep sipping . You_ get overheated , you puke . Simple as that . I do it at the start of every season . Besides , I never saw anyone puke pink before . Is that a band th",present,iterative,2nd,sip
"nted her eyes and scrunched up her nose . "" As Mom!!!!!keeps reminding me ,_ I do n't have a man in my life , no children , in the near future . At the rate I 'm going , I 'll be lucky to adopt another animal from the shelter",present,iterative,3rd,remind
"im a bottle of cold water to soothe him a little .!!!!!Kept moving on ._ I 'm trying to tell you the story , but to give you the story would be like giving you the churning blue sea one bucket at a time . You might taste t",past,continuative,3rd,move on
"nda ? Rosalyn ? Robin ? She tried to recollect but!!!!!kept coming up empty_ . The girl stood out because every single time Yarni saw her at the church , she was attached to the arm of a different older man . However , on this",past,iterative,3rd,come up
"I ran with a couple of groups , scored some cash ,!!!!!kept moving . Every_ time I did it , I got another white hair . By the time I was thirty-one , it was like living in a world of shrieking animals . I saw shadows hiding i",past,continuative,3rd,move
"le every time . "" "" So her face bitter . "" So , we!!!!!keep getting cave-ins ,_ Seaguard taxes , same shit as always . And all the GreenValley and Pacifica Flyers execs keep sitting pretty . Sweet deal for them , I guess . "" The",present,iterative,1st,get
"uld Be Imprisoned In The Dungeon FOREVER . "" Hanna!!!!!keeps adding her brothers_ ' names to the list and then erasing them until the paper is ready to tear and I tell her feel so guilty about it . We make a list of "" Animals That",present,iterative,3rd,add
"her eyes , but Lucas did n't pause . The wolf just!!!!!kept dragging her ._ Down the stone steps . Across the street , into the park that was overgrown with weeds , then back into the stretching shadows of the trees . Uh , oh",past,continuative,3rd,drag
"eed another watch he did n't have to work . People!!!!!kept asking him if_ he was going back underground and he 'd bluff at them , give them the real man answer , the hero stuff , but he was n't going back . He spent a lot o",past,iterative,3rd,ask
"urse you 're going to open your umbrella . He just!!!!!kept going . I_ have to go home . ' Without even thinking it , probably . ' Screw this-I 'm going home . ' And already I 've forgotten his face . He 's morphing into",past,continuative,3rd,go
"my French . We do n't know what to do . So we just!!!!!keep sitting there ._ In our stocking feet . Nobody even puts their street shoes on . Nobody says a word . And then Bob says something about the foul line . "" "" The foul l",present,continuative,1st,sit
"scream , and her knees would start to jitter . He!!!!!kept pressing it until_ she was moaning and whining like a sick dog . Clarence had never heard those kinds of sounds from a woman . Afterwards they sat on the olive green ch",past,continuative,3rd,press
"way . One of the girls had noticed me watching and!!!!!kept catching my eye_ , smiling , maybe thinking I 'd be good for a big tip . "" So , are you like actually going up to the mine ? "" AlHe said , cutting Billy off in the mi",past,iterative,3rd,catch
