text,Tense,Aktionsart (C/I),Subject Person,Ving
"One leading broker admits , `` I just <keep coming in and> see someone sitting at a computer not moving , and I wonder should the computer be there in lieu of the person ? '' Tempting , but the truth so far is that in equities the machines are n't quite making the required grade .",present,iterative,1st,come in
"`` Quality is the name of the game , '' he <keeps repeating . The> workshop , where `` Den '' seems on easy terms with most of his 15 employees , is hung with notices urging `` Think Quality : Perfection --- the only standard worth working to '' --- and other variations on the theme . Yet when it comes to price , Euravia still endeavours to undercut the market .",present,iterative,3rd,repeat
"I think the safety net gives us the ability to do the Mahabharata , Out On Tuesday , After Midnight , to <keep running Channel Four> News at 7 pm , and everything else that in the commercial world you 'd actually have to look at . People strive for a definition of public-service broadcasting , but I always think it 's very simple .",present,continuative,3rd,run
"I tried boxing when I was fifteen and won a bout against an opponent who was smaller than me and who normally wore thick glasses ; I went on to the second round of the competition and was beaten flat in thirty seconds by a demon midget who hammered me onto the ropes and <kept hitting me until> the referee stopped the bout before I suffered permanent damage . The referee was also the Quartermaster in the school 's Combined Cadet Force , who paraded on Wednesday afternoons and ran around in the woods with Lee Enfield .303s practising ambushes in the rhododendrons .",past,iterative,3rd,hit
"The wood in the barn was soaked and we stood there in our dripping combat jackets close to despair ; we had been made to wear our helmets for the duration , and the oversized tin hats <kept slipping over our> faces , as we scrambled in the mud taking the wood to where the petulant staff were demanding hot coffee . Later we went through the routine of 'appel' with our clothes laid out next to our sleeping bags , and at midnight were allowed to climb into them , sodden , muddy and cold .",past,iterative,3rd,slip
<Keep moving if the> way is clear . Some drivers stop when entering a roundabout which is obviously clear of other traffic .,present,continuative,2nd,move
"If your bike gets stuck , perhaps in the rails , while you are crossing , just leave it and <keep going . THOMAS> NEWCOMEN National Railway Museum Fact Sheet 1",present,continuative,2nd,go
"Artemis realized this was a reference to her new stepmother , but she preferred to try and <keep dropping her gathered> pebbles into the centre of the splash made by the last one she had dropped . Her nanny had other ideas and took her by the hand .",past,iterative,3rd,drop
"He <kept moving all the> time , on his toes with his weight perfectly balanced , just as he 'd been taught , down at the gymnasium , every Saturday and every Wednesday for the past five years , times when everyone thought he was busy doing something else . The occasional black eye he had collected early on , when he was still at school , he had attributed to the fights he was always having in the playground , or on the street coming home .",past,ambiguous,3rd,move
"<Kept going only by> subsidies , it was wound up in 1846 in circumstances which seem to have been anything but harmonious . So Owen 's high road to the regeneration of society through the co-operative community petered out to its disillusioning end .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
They had to <keep going . Workshop> C : What Can Community Economic Development Achieve ? Chaired by Gerry Doherty,past,continuative,3rd,go
Raindrops <keep filling up my> web This spider 's web ( in a Welsh drystone wall ) had become a watertight hammock after a heavy shower of rain .,present,iterative,3rd,fill up
"There 's loads of good , fresh and low-calorie fruit , vegetables and salads in the shops right now so you really have n't got any excuse to <keep putting it off> ! 4",present,iterative,2nd,put off
"But miracles do happen and to anyone who feels like giving up , I 'd say please <keep trying . ''> WHERE MIRACLES CAN HAPPEN",present,iterative,2nd,try
So use a good insect repellent and remember to <keep re-applying it .> Wasps and bees are more likely to sting you .,present,iterative,2nd,re-apply
Do n't <keep pushing too hard> for the cherry on the cake or you may well end up with nothing left but a whole plateful of crumbs ! Pisces Feb 20--Mar 20,present,iterative,2nd,push
"You 've got off to a good start , Deirdra , so <keep writing --- and> reading ! Studying magazine fiction as well as books on the subject could be better --- and cheaper --- than a course .",present,ambiguous,2nd,write
"After a while you will begin to see that perfection is like the fairy tale castle , you <keep moving towards it> , but it 's always out of reach . If you take this approach you will find that your work improves ; what in the past seemed difficult is now easier to achieve .",present,iterative,2nd,move
"We want to pay the bills and <keep going , but> only a minimal percentage goes to the gallery operation out of each sale . The idea is for the business to go directly back to the woodworker . ''",present,continuative,1st,go
""" I 'm so sorry I <keep treading on you> , I just ca n't help it . Should you mind if we went to look for something to drink instead ? """,present,iterative,1st,tread
"They 're trying to make the bottom bit look decent now , they <keep buying things for> it , but it never looks right you ca n't see it from here , we 'll go out and look at the garden after tea . "" And as she spoke , Mrs Denham , in the garden below , suddenly leaped to her feet , and started gathering up her things ; they could not catch what she was saying , but she seemed faintly agitated , and Martin too got to his feet , though not with any movement that could be described as a leap , and appeared to offer , though ineffectively , to help with his baby .",present,iterative,3rd,buy
"Even so , flesh and cartilage is heavier than water and to remain above the sea floor , the sharks have to <keep swimming . They> drive themselves through the water in the same way as their ancestors , by the sinuous motion of the rear half of their bodies and the powerful thrash of their tails . But with the thrust coming from the back the body is nose-heavy and liable to dive downwards .",present,continuative,3rd,swim
"Chapter 24 turns from special festivals to two regular duties : the lamp which must be <kept burning , and> the weekly offering of 12 loaves . The loaves remind the tribes of their complete dependence on God 's provision .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
""" He <kept telling me I> could n't get pregnant the first time , but I did . "" "" We do it once or twice a week , "" said a woman with two children whose boyfriend comes over to stay .",past,iterative,3rd,tell
"He afterwards <kept telephoning other Harvard> dealers , pointing out that he could say what he wanted on the phone in his new place of employment as the calls were unrecorded . Furthermore , working hours were short , the dress informal , the commission exceptional , all income tax-free , and the weather beautiful .",past,iterative,3rd,telephone
"They <kept ringing up their> former colleagues , making out they were selling the new Royal Life Unit Trust , that they had risen above OTC dodginess . But their posing served only to disguise their dissatisfaction , as sharedealing had got into their blood .",past,iterative,3rd,ring up
""" It 's us or them , "" one dealer <kept saying , and> this represented his firm 's attitude . The client would usually be looking secretly for guidance , and would be likely not just to sell out of his Rolls Royce shares , but to reinvest his original ?500 with any profit , plus say ?1,000 further capital in the stock proposed .",past,iterative,3rd,say
"For that Alice got sixty pounds , though the woman <kept saying a skilled> sempstress would have to replace the missing beads , and it would cost --- Alice had no idea what it would cost . Alice smiled politely , nodded , and stood her ground .",past,iterative,3rd,say
She thought : I <keep forgetting that time> is going on . She was over thirty .,present,iterative,1st,forget
"Actually as the others knew , she agreed with them , did not need the furious condemnation that Faye had to use as a fuel to <keep going . ""> Why do n't we just agree , quickly , now , to one or two basics , "" said Pat . "" There is n't very much to discuss , is there ? """,present,continuative,3rd,go
"And yet Alice <kept thinking that Pat> , no matter how committed she sounded now , did not really stand by Bert . The attractive lively girl , affectionate and easy with Bert after their weekend away together , presumably alone , did not convince Alice .",past,iterative,3rd,think
""" Not if we <keep gossiping like this> . "" "" I 'd like to write to the marquis and thank him for what he did for me .",present,ambiguous,1st,gossip
"If I <keep doing this you> wo n't want me . "" "" You 'll be a most excellent wife and I shall fatten you up so that you never swoon again .",present,ambiguous,1st,do
"I 'm not very good at it , but she makes me try even though I <keep burning it .> "" "" A determined woman .",present,iterative,1st,burn
"Consultancies all lose clients so they must <keep getting new ones> . The key elements in responding well to a brief from a prospective client is to read it thoroughly , think it through , consider what he actually wants , make a proposal which is sound and creative within his expected budget , present these to him in a clear , unconfused way which you have rehearsed , and finally to give him your proposals in a well written form .",present,iterative,3rd,get
"If Ireland was a woman --- as the poet Yeats <kept saying --- then> she was a banshee , a fairy woman , who brought with her nothing but death and despair . The subject of Ireland was banned in her house ; she employed no Irish servants , imported no Irish goods --- although she used Irish girls in her brothels --- allowed no Irish books or papers into her house .",past,iterative,3rd,say
"As he scrutinised me intently , he <kept taking off his> glasses and then putting them on again . It was all a bit disconcerting .",past,iterative,3rd,take
"He spoke of the need to learn shorthand , <kept emphasising the need> to get on with people . That meant , he said , always being polite .",past,iterative,3rd,emphasize
"I <kept talking into my> mike , no doubt a trifle hysterically , as we made it . Caroline told me later she was terribly nervous .",past,continuative,1st,talk
"We have to <keep moving from house> to house , because nowhere is safe . There are always police spies around the Church .",present,iterative,1st,move
"Central Office was able to <keep going at full> capacity through 1915 and 1916 , but here again there was a falling off in 1917 . Boraston was so much involved in war work that his assistant .",past,continuative,3rd,go
"The task the reader is set is rather like that of completing a jigsaw puzzle , where we are given a few pieces at a time , and have to <keep guessing what the> rest of the picture will be like . The technique may be a taxing one for us as readers , but it ensures that in seizing on details , we shall not lose sight of the ramifications of the whole .",present,iterative,1st,guess
"Billy 's short legs <kept getting tangled in> the heather , so he bounced along like a kangaroo through the springy tufts . On the fell edge near Brackensgill we looked down to where the river Dee meanders through the valley like a slow-worm .",past,iterative,3rd,get tangled
"I <keep getting near it> , though . You know how you poke your nose against wire netting and push it up against an apple tree , but you still ca n't bite the bark because of the wire .",present,iterative,1st,get
"I am not accustomed to be <kept waiting . ""> "" "" How do I know this is true ? "" asked the captain of the guard .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
"For him it is strenuous to climb a steep hill , because he has to <keep pushing his own> vertical mass upwards and can not gain any momentum . The rabbit is better off .",present,continuative,3rd,push
"As one respected Republican leader put it , "" McCarthy should <keep talking and if> one case does not work out he should proceed with another . "" The Republicans used the issue of communism within the USA to devastating effect in the 1952 election campaign .",present,ambiguous,3rd,talk
"On the face of it , Harry seemed to have won , and people in the crowd were impatient to hear Treffry announce the result ; but the old man <kept scratching his chin> and shaking his head until the villagers started chanting for a decision . He called Harry over for a private word , and the two men walked across to Harry 's collection of barrels .",past,iterative,3rd,scratch
"Many though the race should have stopped immediately , while others believed the Mercedes policy to <keep racing was wrong> . But both decisions were at the request of the race organizers who felt any cancellation or withdrawal may have resulted in a mass exodus of spectators from the circuit which would have hindered rescue operations .",present,ambiguous,3rd,race
<Keep going . You> can always fill in the missing details later . Be kind to yourself in judging your first attempts at answering exam questions under a time constraint .,present,continuative,2nd,go
"Those dealing with the replies do not want to have to <keep getting on the> phone to the PROs concerned . Background material for the Development Zone release outlined earlier might include the full text of the minister 's speech , the government leaflet setting out details of the Development Zone scheme , a complete list the benefits to be gained by businesses from setting in Tadchester , and a list of addresses of relevant officials within the local council , the New Towns Commission and Tadchester Industrial Development Centre 0 might be able to help industrialists to take the decision to move .",present,iterative,1st,get
"I suppose this is erm , a caricature , a self portrait this little , I , in fact I was , really actually hilarious as I felt that , I , I , do n't actually know an awful lot about Gaugin , but if , if I knew nothing about him at all , I would of thought he was having a bit of joke of himself with this , but er , being the person that he was I ca n't image that he had that quality , that , I do n't believe he would be laughing at himself , erm , erm , the symbolism erm and conflict of this painting its dazzles me more than , than the colour or at least as much as the colours in it , but there 's a , there 's a half eaten , well it is n't half eaten , but there 's half an apple at the top and , and that was the , the way into me finally , for , for writing about this , this again is a shopping",N/A,N/A,N/A,N/A
Well you <kept thinking about it> . We might ask to hear some of those sounds again in a minute [unclear] .,past,ambiguous,2nd,think
"I then twist the plate forty five degrees and then <keep doing that and> Paul , can you see the ink taken up on the grooves there ? And I 'm giving it three wipes each time .",present,ambiguous,1st,do
"And whether we had to <keep running those slots> . And I agree I do n't want to wade through everything but I , I think we need to lay down management information criteria , and only receive information if it 's necessary on , on those headings .",past,continuative,1st,run
"be super efficient , it 's just that there is a chance of <keeping going without too> Yes .",present,continuative,N/A,go
"you know I just <keep thinking the stuff> 's on the way round and there ought to be some way of doing it , but I , you know , I mean maybe Brian 's idea of the , the , the organizations in the ci ci but that does n't help me you know with a , with a You still need a key person who 's going to",present,iterative,1st,think
"so that 's done some work on that , and there 's now four models for training , one is the , you know , on the job , evenings , training , there 's the weekend model of getting people together for the weekend , there 's the sort of summer school idea and the other one 's the one that Doug keeps reminding me about , which I <keep forgetting about which> is the distance learning one , er we , I think this is the one he thinks is running in Dundee , that maybe help with because the idea of developing a pack which is kind of trainer proof Mhm",present,iterative,1st,forget
"Yeah to , yeah she 's okay , Janice [gap:name] , but there is somebody specifically in charge of each of the areas within the primary schools , they keep changing because they <keep leaving but I> mean obviously the there is it is going on . The problem I have is putting them into forms and last was a was a specific example because we ended up with our seven G N , and I took the i , the information from each of the primary schools and put them into form classes .",present,iterative,3rd,leave
"I find this a bit tedious to <keep doing this ,> so I tend to you know , slip up sometimes please check what I 'm doing .",present,iterative,1st,do
You <keep changing the carbon> . Anything else ?,present,iterative,2nd,change
"But , I mean the concern Carters Mead Resident 's Association I think is well founded , I think there 's been a lot of problems [unclear] and er I think it can come upon us all to <keep talking with them> and to improve the situation should the [unclear] should Woolwich back out . Thank you Melanie .",present,ambiguous,1st,talk
"Let's not go go down a side road however , as it were , appealing it may be , let's stick to the main difficult one and <keep chewing it until> we can get an answer . I hope that , that the assembly will not take this addendum and then I hope the two boards concerned will take on the issue as Mr [gap:name] suggested .",present,continuative,1st,chew
because these messages <keep getting lost between> here and the congregation . The kidney transplant waiting list could have been reduced remarkably if the Church of Scotland had done their job properly .,present,iterative,3rd,get lost
"I mean , well if you have n't got gauze in your first aid box , but you could have something like a Mediwipe or you might be able to use , open up your bandage and you can use , you know , several pieces of this , just <keep going down the> bandage and then you know clean it and get rid of that bit , okay , another clean bit okay , so you can adapt with whatever you 've got in your first aid box , yes , and you wo n't necessarily have scissors to hand so you 'll have to do whatever you 've got and the little Mediwipes are very useful for that , but do n't use one Mediwipe for seventy five grazes , okay , one Mediwipe for one wipe and then discard , okay ? Okay , so I 'm going to open up my sterile dressing now",present,ambiguous,2nd,go
"and then you take your long end and you wind above covering the edge and overlapping and then the low , then covering the edge and overlapping , there and again you <keep working your way> up and down , a figure of eight until you get to the end of your bandage then tie away from the body in your reef knot , either you tuck your ends in or if that 's awkward you can just put a sticking plaster over the ends to get them out of the way like that , so just tuck the ends in and I do n't think your casualty 's going to need a sling for a little graze like that Right , and so that she can still move",present,ambiguous,2nd,work
"I 'll <keep reminding you .> Oh , is it possible to",future,iterative,1st,remind
"What 's happened to me , her mind <kept repeating , stupidly> ; what 's happened ? Liban turned in her direction with a levelled spear , and it was only then that she understood she must escape .",past,iterative,3rd,repeat
"He <kept seeing them over> and over in his mind , like an action replay of a not very good football match that only showed the goals . He saw clips of them with their heads together across a table in a wine bar , or making love in the garden of a cottage they had once rented in the New Forest , or building a sand castle with the twins on their first family holiday together at the seaside .",past,iterative,3rd,see
"`` Well , '' she said , `` I <kept getting these phone-calls> . '' `` Oh , yes ? ''",past,iterative,1st,get
Preston had more or less given up being a New Man since Carla --- it was so difficult to get it right all the time and they <kept moving the goalposts> --- but he still liked to make the right noises . The problem was they kept coming out as grunts .,past,iterative,3rd,move
The problem was they <kept coming out as> grunts . Emily was looking at him curiously .,past,iterative,3rd,come out
"So why did he <keep blaming himself ?> It 's a form of conceit , Preston .",past,ambiguous,3rd,blame
"No wonder he <kept losing the battles> . `` I do n't suppose you 've thought any more about the house , '' said William .",past,iterative,3rd,lose
We <keep going back ourselves> so it 's quite lived in . We 'd be back this weekend only we 're staying with Kate 's parents in Sussex . '',present,iterative,1st,go
"So they <kept changing the man> on the next machine , and until he could talk him into using the System , William 's grandad would have to lurch down machine alley every few minutes , heaving his stiff leg behind him like Long John Silver and cursing like his parrot . But it was good money most of the time and he loved his machine .",past,iterative,3rd,change
"But he just <kept shaking his head> and would n't say , and the only thing Preston was sure he had n't seen was Mary Moxton Parading around in the Nude . `` Come on , '' Preston urged him now .",past,iterative,3rd,shake
"An yu <keep repeating , ``> Tell me where you 've been '' , She 's trying fe tell yu ,",present,iterative,2nd,repeat
"`` I had hoped it would please her , '' she <kept saying . ``> I so hoped she 'd be pleased . '' Our train went after luncheon ; Anna did n't come down .",past,continuative,3rd,say
"`` I <keep asking you to> come out in the boat , you say you have to work . What are you laughing about ? ''",present,iterative,1st,ask
People <keep meeting each other> as they take on different roles in relationship to each other . 2,present,iterative,3rd,meet
"Various strategies are developed to handle potential conflicts that can not be overcome because people <keep meeting each other> . Generally , social inequalities are presumed to be justified , often in terms of tradition .",present,iterative,3rd,meet
It will <keep going until it> is all gone and then it will go to another place with water and do the same . The cloud is like a magnet so the water goes through the cracks and goes up .,future,continuative,3rd,go
R : in those days + when we were young + there was no local fire engine here + it was just a two-wheeled trolley which was kept in the borough + in the borough eh store down on James Street + and whenever a fire broke out + it was just a question of whoever saw the fire first yelling `` Fire '' + and the nearest people ran for the trolley and how they got on with it goodness knows + nobody was trained in its use + anyway everybody knew to go for the trolley + well + when we were children + we used to use this taw [ t-- : ] + it smouldered furiously + black thick smoke came from it and we used to get it burning + and then go to a letter box and just keep blowing + open the letter box + and just <keep blowing the smoke> in + you see + till you 'd fill up the lower part of the house with nothing,past,iterative,1st,blow
`` If the wind <keeps rising the pod> 'll be blown down there . And do n't stand so close to the edge . '',present,ambiguous,3rd,rise
"She kept moving , and the enemy fire <kept missing her .> She saw Defries , and paused long enough to make a curious gesture : a closed fist , and the thumb sticking upwards .",past,iterative,3rd,miss
"Elaine <keeps saying that they> cut a hole in her sister . I 'm going to try to get her to tell me more , but it all sounds dreadfully nasty .",present,iterative,3rd,say
"`` But I 'll <keep looking . ''> `` Good girl , '' Lacuna said absently , and returned to sit at the bank of screens .",future,ambiguous,1st,look
"He <kept glancing into the> TARDIS as if anxious to perform his mysterious , self-appointed tasks . Bernice had n't finished with him yet .",past,iterative,3rd,glance
"The pepper pot analogy <kept coming back to> Raymond Cusick as he began sketching his ideas down onto paper . One of the very first sketches took the salt cellar shape literally with the design of the skirt section mirroring the corrugations on the pot , and the eye/gun turret resembling the screw-off lid .",past,iterative,3rd,come back
"By going down to sea level , you can walk out on to the Rocker de la Vierge , reached by a short gangway , which has a statue of the Virgin on top and the beginnings of a jetty planned by the Emperor Napoleon III but never finished because the sea <kept demolishing it .> Facing the Rocker de la Vierge , there is a Marine Museum , with a very presentable aquarium .",past,iterative,3rd,demolish
"You can also walk round the lake , or , more ambitiously , follow for a stretch up to the even higher Lacs d'Ayous , the red and white marked stones of the GR10 , the magnificent high path that leads from one end of the Pyrenees to the other and which you <keep meeting up with> at these altitudes . Hard by to the south of the lower lake is the huge upstanding molar of the Pic du Midi d'Ossau , grimly handsome with , on its eastern slopes , what is by all accounts one of the Pyrenees ' largest populations of izard .",present,iterative,2nd,meet
"They <keep communicating , ``> We mean it --- you are running the show . '' The division heads concur that the message is credible up to the point that a very important issue is at stake and they want to prove their mettle ; then headquarters begins to interfere .",present,continuative,3rd,communicate
They <kept reminding themselves that> learning new skills does require that they slow down . One technique they used was that each individual crafted by himself a new conversation to help the writer of the episode .,past,iterative,3rd,remind
"One young girl , who had Asian friends and <kept saying `` I> 'm not being colour prejudiced , you know '' , complained that things were slipping out of control : `` I mean , we 're leaving school soon , and half the jobs have gone . You try and get into a factory , it 's just all Indians '' ( Cochrane and Billig , 1984 ) .",past,iterative,3rd,say
"He <kept holding it at> me throat and threatening me ... . '' She began to cry in earnest and Tony , for the first time in his life , felt emotion for a working girl .",past,continuative,3rd,hold
"Neither good taste nor wealth , as its novelists <keep telling us ,> can transform a house into a home , for a home does not consist in the quality of its architecture or decor , but in the quality of the lives that it expresses . The Victorian obsession with comfort has some relation to this conviction , for the first and even the final --- test of a home is whether it makes the visitor feel at ease .",present,iterative,3rd,tell
The Japanese took the initial technology and <kept moving it forward> . The pattern has been the same for one Big Idea after another .,past,iterative,3rd,move
"<Keep turning . Claudia> , get in the car . `` The black-maned lion now charges out of the bush in the direction of the cars .",present,continuative,2nd,turn
<Keep turning . ''> `` Salaud .,present,continuative,2nd,turn
"Ho was <kept hanging about at> Biarritz . A conference was convened at Fontainebleau , but France was represented mainly by officials , not politicians .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
"But I <kept closing my eyes> and nodding off . In the distance I could hear something , something I had to pay attention to .",past,iterative,1st,close
Jean-Claude <kept mentioning things he> wanted . And a job would get me out of the attic .,past,iterative,3rd,mention
"She <kept telling Ivan that> she had to leave , and he kept telling her that he was a great lover although his prick was only six inches long . Or something to that effect .",past,iterative,3rd,tell
"She kept telling Ivan that she had to leave , and he <kept telling her that> he was a great lover although his prick was only six inches long . Or something to that effect .",past,iterative,3rd,tell
"`` You do n't mean to say that this chap Edward Lazenby we <keep reading about and> hearing on the radio is the same chap as that persistent creep Teddy who used to edit Focus when we were at Cambridge ? '' Esther was saying , returning to the guest list , recalling scores not settled a quarter of a century ago : `` Yes , the very man , he 's a something or other in the DES , he 's a very important chap now , you ought to have a go at him , '' Liz replied , and as she spoke the doorbell rang , and there was the first guest , on the dot of two minutes past nine o'clock , tall , thin , grey , anxious , clutching a bunch of yellow roses , ex-priest turned analyst Joseph O'Toole , standing stranded on the black and white marble tiles , not knowing where to turn , how to divest himself of his coat",present,iterative,1st,read about
"`` Imagine , man , trying to kip in this , '' he <kept asking , to> anyone who would listen , as he demonstrated the inconvenience of his garb . Innocent , innocent , like schoolchildren , the thieves and murderers .",past,iterative,3rd,ask
"It was certainly overt in Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb ( 1964 ) , with its surrealistic emphasis on machinery ( a Coke machine , a wheelchair , telephones , radios , computers , aeroplanes , bombs ) , culminating in the semi-mechanical yet sex-obsessed figure of Dr Strangelove ( Peter Sellers ) himself , whose rebellious mechanical arm <keeps rising in a> gesture at once phallic and fascist . The swift yet controlled pace of The Killing had slowed down to accommodate this more meditative , talkative approach .",present,iterative,3rd,rise
"Conversation is like playing tennis with a ball made of Krazy Putty , that <keeps coming back over> the net in a different shape . Reading of course is different from conversation .",present,iterative,3rd,come back
<keeps stepping out of> her mother 's sling-back sandals and a jogger on the road has barely enough breath,present,iterative,3rd,step
"The problem , however , was that they <kept blaming the tenants> ' '' lifestyle '' for the dampness , refused to accept responsibility and spent unknown amounts of money treating the symptoms by using chemical washes to try and kill the fungus . The tenants , on the other hand , had long since realised that if they could n't boil a kettle or breathe and do all the things normal families do without causing condensation dampness , then there must be something wrong with the houses , not with the people who live in them .",past,iterative,3rd,blame
"I went to see my therapist and he <kept talking about the> bank manager . I was thinking , `` What has this got to do with the bank manager ?",past,ambiguous,3rd,talk
"One girl in particular <kept walking the red> rope by the door and he could n't help but notice . She went home with him , and another woman , and there was a video camera running while the women made love .",past,iterative,3rd,walk
"`` It 's like being in a different world , '' she <keeps saying . ``> It 's like being in a different world . '' She is masturbating Martin with one hand , whilst taking Dave in the mouth .",present,iterative,3rd,say
"I <kept expecting very painful> things to come up : that 's what I thought analysis was about . In fact , everything was much less traumatic and emotional than I 'd expected , probably because I 'm pretty hard on myself anyway .",past,iterative,1st,expect
"But as long as you <keep putting that gloop> on your face , I think you have to seriously consider how liberated you really are . '' My friend has now stood up and is pointing his finger at me .",present,iterative,2nd,put
It is not my imagination --- I <keep having conversations like> this . Perfectly normal men I know have taken to reprimanding my personal politics --- harrying me about how liberated I am .,present,iterative,1st,have
He 'll just <keep coming back :> `` No --- but really . Why are you drinking Diet Coke ? '',future,iterative,3rd,come back
And some of these techniques must be working because she <keeps getting re-hired .> She reckons the real reason the Japanese are so successful is that they have always incorporated a spiritual approach in business .,present,iterative,3rd,get re-hired
"It would not be whimsical to suggest that I still go to Arsenal now because of what Swindon did to me then : like a gambler who <keeps playing because it> is the only way to win back what he has lost , I still feel , somewhere in me , that I am owed for what Ian Ure and Jon Sammels and Bobby Gould put me through that afternoon . Highbury in 1951 : `` a refuge for depressives and malcontents ''",present,continuative,3rd,play
"How did Sixsmith <keep going ? Despite> his years , he had , thank God , found love , in the arms of a woman young enough ( and , by the sound of it , alcoholic enough ) to be his daughter . Their prawn cocktails arrived , together with a carafe of hearty red wine .",past,continuative,3rd,go
"I tried your idea Mr Derr , but had to give it up when I <kept falling off the> ladder . Dear Old Fishfinger",past,iterative,1st,fall
"I <kept thinking about the> actor . I had n't seen him for seven years , though I 'd heard about him now and then --- he had graduated through minor journalism to publishing , and was now ( I learned by well-placed casual questions ) a leading light in a go-ahead new publishing house specializing in novels by Angry Young Men .",past,iterative,1st,think
"It made the pain worse , but I <kept hugging it ,> holding it . With the woman urging me , I put one foot ahead of the other and we started to move .",past,continuative,1st,hug
"I had n't bothered with landing lights and I was n't sure , any longer , where I was I only knew I had to <keep climbing and that> somewhere at the top was relief and safety . Then I saw a strip of light .",past,continuative,1st,climb
""" Do n't , "" he <kept saying . ""> Do n't . It 's bad for you to cry like that . """,past,iterative,3rd,say
"I heard him working away up here alone , and he <kept coming down all> eager and excited and asking me to come and look , and I would n't ... of all the ridiculous , petty ... I could kick myself . """,past,iterative,3rd,come down
"I <keep floating about in> the thought of you , like wallowing in a hot bath and not wanting to get out . "" He was sitting at his desk and I went and put my arms round him from behind , and nuzzled his ear .",present,continuative,1st,float
The machine <keeps increasing the numbers> it has to divide but the answer line does not change . This is using the cancelling method in reverse .,present,iterative,3rd,increase
The ships then set out to return to base at speed of 10km/h. at 8 p.m. the cutter increased speed to 20 km/h while the launch <kept going at 10> km/h . Both boats arrived safely back in Montego Bay .,past,continuative,3rd,go
"We did not like the look of him and <kept walking . He> matched his stride to ours . "" I am a member of the Friends of the Tourist Organization , "" he said .",past,continuative,1st,walk
A never-ending stream of people <kept climbing over the> sides and lowering themselves and their tremendous baggage into the sea of bodies . It was becoming increasingly difficult to move .,past,iterative,3rd,climb
""" I <keep trying . I> went to the King 's Carol Service . "" "" Good for you . """,present,ambiguous,1st,try
"The word "" fast "" <kept cropping up .> "" You do n't want to waste your life do you ? "" he said .",past,iterative,3rd,crop up
"If you are to get the best from our book , you must <keep buying other people> 's books also , and hoard them as a precious collection . Put your name on an inner page as well as on the fly-leaf and do n't lend them .",present,iterative,2nd,buy
"I hope you can find it , er if yo if er if you want and and the important thing is to keep talking about it , <keep exchanging information .> Thanks everybody here for your experiences and information !",present,iterative,2nd,exchange
"but that 's no problem for me , it used to be a problem but it is n't now because I 've worked on building up my confidence in other things so I 'm good at quite a lot of things and I always <keep re-enforcing that that> I 'm good at doing these things . We 've , we 've kind of shied away from the whole thing about image and about fat",present,iterative,1st,reinforce
"And those same three people <keep abstaining , it> 's amazing ! Sixty two say yes , thirty five no .",present,iterative,3rd,abstain
"And it 's because of the tensions , the adrelion , and the old bloody heart <keep going . And> as it t as er as you get on in later life , you know it tells on you . So let's sort of think about attitude , keep back , keep ourselves safe .",present,continuative,3rd,go
Or do you <keep going round until> you 've found the the right exit that you want ? And that 's not so daft as it seems you know .,present,iterative,2nd,go round
I <keep losing my set> squares and rules and things . There 's one though .,present,iterative,1st,lose
"And with most with a lot of calculators I mean you Do n't try it unless you really know your calculator and know how it works , you can just <keep pressing equals ,> Yeah .",present,iterative,2nd,press
I know I know I know but I want to just <keep going round the> lot . Metal and an acid,present,iterative,1st,go round
"<Keep going . [unclear]> some reason . Keep , shh shh shh , keep going .",present,continuative,2nd,go
"Keep , shh shh shh , <keep going . She> 's not guilty . You 're , you 're on the right lines , you 're on the right lines .",present,continuative,2nd,go
"You 've had this video now and I 've come to this school since you started this school , so you should know more about Stranger Danger than other schools cos I <keep coming every year> and talking to you about it . And I think we must have had this video three times , you should be word perfect by now .",present,iterative,1st,come
The only trouble is the teachers <keep giving you all> the awkward one do n't they everybody Yeah .,present,iterative,3rd,give
"Three right so perhaps someone had divided this pizza up and all the extra people <kept coming in and> your mum was saying , Oh no I thought there were going to be three and now there 's six of us . Right cut it into six .",past,iterative,3rd,come in
They <keep saying well a> sixth must be bigger cos six is bigger . [unclear] that 's how many people you 're sharing with so that 's very good you got that very quickly .,present,iterative,3rd,say
If you put one ruler on here and <kept sliding them about> until it was Yeah .,past,iterative,2nd,slide
You <keep saying the answer> actually . Oxygen .,present,iterative,2nd,say
"Erm I know you 've probably had more than enough of that , but keep <keep having a little> look Yeah .",present,iterative,2nd,have a look
"Big big thick rod and you pull a little bit of it through a tiny hole and you stretch it out , and you <keep stretching it and> you keep stretching it , it does n't Aha .",present,iterative,2nd,stretch
"Big big thick rod and you pull a little bit of it through a tiny hole and you stretch it out , and you keep stretching it and you <keep stretching it ,> it does n't Aha .",present,iterative,2nd,stretch
Hill climbing is so called because it is like what one would do to find the top of a hill in a Scottish mist : <Keep going up .> N : = start,present,continuative,3rd,go
